\DeepLearning\Source\Express\DL Inference ExecSource.llb\DL Inference Exec Source.vi;;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/runtime/exec/inference/multi/exec-inference-multi-by-name/README.md;0.9636;Execute forward with multiples inputs specified by name (Inference Session).
\DeepLearning\Source\Palette\DL Examples.vi;;https://graiphic.github.io/Graiphic-documentation/#/deep-learning/general/examples-guide/README.md;0.7776;
\ComputerVision\Source\Image\_Methods\Tools\CreateImage.vi;Image Manipulation:Create;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-manipulation/create-3/README.md;1.0000;Creates a temporary memory location for an image. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\CastImage.vi;Image Manipulation:Cast Image;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-manipulation/cast-image/README.md;0.8851;Converts the current image type to the image type specified by “Target Type”. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\CopyImage.vi;Image Manipulation:Copy;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-manipulation/copy/README.md;0.8766;Create a copy of Image Src into Image Dst. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\SetImageSize.vi;Image Manipulation:Set Image Size;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-manipulation/set-image-size/README.md;1.0000;Modifies the resolution of an image. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\GetImageSize.vi;Image Manipulation:Get Image Size;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-manipulation/get-image-size/README.md;1.0000;Retrieve the image size (width and height). Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\GetImageInfo.vi;Image Manipulation:Get Image Info;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-manipulation/get-image-info/README.md;1.0000;Retrieve image information (name, size, and type). Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\ImageToPicture.vi;Image Manipulation:Image To Picture;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-manipulation/image-to-picture/README.md;0.8851;Transform an image into a LabVIEW picture. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\PictureToImage.vi;Image Manipulation:Picture To Image;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-manipulation/picture-to-image/README.md;0.8851;Transform a LabVIEW picture into an image. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\Tiles.vi;Image Manipulation:Tiles;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-manipulation/tiles/README.md;0.8852;Slices an image into specified dimensions and optionally resizes tiles to the original image size. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\ReleaseImage.vi;Image Manipulation:Release;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-manipulation/release/README.md;0.8791;Close image reference. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\ResampleImage.vi;Image Modification:Resample;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-modification/resample/README.md;0.8797;Resamples an image to a user-defined size. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\ExpandImage.vi;Image Modification:Expand;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-modification/expand-2/README.md;0.8786;Expands (duplicates) an image or part of an image by adjusting the horizontal and vertical resolution. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\ExtractImage.vi;Image Modification:Extract;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-modification/extract/README.md;0.8791;Extracts (reduces) an image or part of an image with adjustment of the horizontal and vertical resolution. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\InsertImage.vi;Image Modification:Insert Image;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-modification/insert-image/README.md;0.8851;Inserts an image in the Image Src. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\RotateImage.vi;Image Modification:Rotate;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-modification/rotate/README.md;0.8785;Rotates an image. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\ShearImage.vi;Image Modification:Shear;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-modification/shear/README.md;0.8777;Applies a shear effect to an image. This effect distorts the image by pushing it sideways or vertically, giving the impression that the image is tilted or slid in one direction without changing its surface.​ Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\ShiftImage.vi;Image Modification:Shift;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-modification/shift/README.md;0.8777;Translates an image based on a horizontal and vertical offset. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\FlipImage.vi;Image Modification:Flip;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-modification/flip/README.md;0.8766;Transforms an image through its symmetry. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\ImageToClipboard.vi;Image Modification:Image To Clipboard;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/image-modification/image-to-clipboard/README.md;0.8851;Copies the image to the operating system clipboard. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\ReadImageFile.vi;File:Read Image File;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/files/read-image-file/README.md;0.8829;Read an image file. The file format can be a standard format (BMP, TIFF, JPEG/JPG, TIFF, GIF, PNG, PPM, PGM and WebP) or a nonstandard format known to the user. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\GetFileInfo.vi;File:Get File Info;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/files/get-file-info/README.md;1.0000;Obtains information regarding the contents of the file. This information is supplied for standard file formats only : BMP, TIFF, JPEG, JPEG2000, PNG, or AIPD. Type : polymorphic .
\ComputerVision\Source\Image\_Methods\Tools\CheckFileImageSize.vi;File:Check Size;https://graiphic.github.io/Graiphic-documentation/#/computer-vision/tools/files/check-size/README.md;0.7888;Check if the image is smaller than the size filled as input. Type : polymorphic .
